wikipedia_id,wikipedia_key,wikipedia_title,title,thumbnail
67675778,Good_4_U,Good 4 U,good 4 u,http://coverartarchive.org/release/30635982-2f9f-4f0d-baaa-d96d30fcab74/29348012667-500.jpg
53272306,Something_Just_Like_This,Something Just Like This,Something Just Like This,http://coverartarchive.org/release/fcc9a457-e4c1-4c85-ab90-44c8114e04b7/16076215944-500.jpg
70703334,Me_Porto_Bonito,Me Porto Bonito,Me Porto Bonito,
66320647,Drivers_License_(song),Drivers License (song),drivers license,http://coverartarchive.org/release/a3bfff70-fca0-4c0f-bc9a-73d5d193b48e/29434659863-500.jpg
62974744,Levitating_(song),Levitating (song),Levitating,http://coverartarchive.org/release/5503fbb9-3e8e-4894-97a4-f2e0817b6fbd/27898030014-500.jpg
70857780,I_Ain't_Worried,I Ain't Worried,I Ain't Worried,http://coverartarchive.org/release/d639a91c-8d14-4f20-9183-095e9aaec1f7/32492118544-500.jpg
1428049,Yellow_(Coldplay_song),Yellow (Coldplay song),Yellow,http://coverartarchive.org/release/157c3d31-3977-45fb-a70f-1b4eed779345/34403765008-500.jpg
58995383,7_Rings,7 Rings,7 rings,http://coverartarchive.org/release/0e381e4f-a879-4ca5-a15d-5637bcc75177/37655295101-500.jpg
56740074,Sad!,Sad!,SAD!,
54863000,Jocelyn_Flores,Jocelyn Flores,Jocelyn Flores,
72030151,Anti-Hero_(song),Anti-Hero (song),Anti-Hero,http://coverartarchive.org/release/d188e150-a64d-4012-97aa-06cfc0037be8/33900298106-500.jpg
1822980,All_I_Want_for_Christmas_Is_You,All I Want for Christmas Is You,All I Want for Christmas Is You,http://coverartarchive.org/release/963eef1c-5483-454a-b5c1-3705564fe139/36841685188-500.jpg
42567340,Take_Me_to_Church,Take Me to Church,Take Me To Church,http://coverartarchive.org/release/d3555827-13fe-47fe-b91f-8b98787b2513/12490096594-500.jpg
71302443,"Quevedo:_Bzrp_Music_Sessions,_Vol._52","Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",http://coverartarchive.org/release/7383c088-6290-47b6-b3d7-df6392ae8194/33399123857-500.jpg
74349789,Seven_(Jungkook_song),Seven (Jungkook song),Seven,http://coverartarchive.org/release/38c743cc-f6b3-4c0c-8f6c-7cb8383ada88/36182125549-500.jpg
56359178,God's_Plan_(song),God's Plan (song),God's Plan,
66590291,Montero_(Call_Me_by_Your_Name),Montero (Call Me by Your Name),MONTERO (Call Me By Your Name),http://coverartarchive.org/release/8d63a125-c3f8-4faa-adb4-9b3d4d119c2e/28920476537-500.jpg
58060088,Sicko_Mode,Sicko Mode,SICKO MODE,
67066293,Ghost_(Justin_Bieber_song),Ghost (Justin Bieber song),Ghost,
64720480,Dynamite_(BTS_song),Dynamite (BTS song),Dynamite,http://coverartarchive.org/release/37bd1633-4fd8-4cc1-a348-bd40c7a0b263/28597861525-500.jpg
61817568,Memories_(Maroon_5_song),Memories (Maroon 5 song),Memories,http://coverartarchive.org/release/5b914854-d3b9-4837-99a8-d429d3904c38/24241492789-500.jpg
47614444,No_Role_Modelz,No Role Modelz,No Role Modelz,
69253295,Dandelions_(song),Dandelions (song),Dandelions,
64806346,Mood_(24kGoldn_song),Mood (24kGoldn song),Mood,http://coverartarchive.org/release/60e6218a-ed3c-4b37-b7ab-4b3969b6aa29/27947951769-500.jpg
68896842,Easy_on_Me,Easy on Me,Easy On Me,http://coverartarchive.org/release/712f0c35-87aa-4b7d-95ec-ee4d7a32b62b/31102177685-500.jpg
67917273,Bad_Habits_(Ed_Sheeran_song),Bad Habits (Ed Sheeran song),Bad Habits,http://coverartarchive.org/release/ab330793-934d-40ab-a9ea-1ef68ccde01e/29706561781-500.jpg
71602466,Unholy_(Sam_Smith_and_Kim_Petras_song),Unholy (Sam Smith and Kim Petras song),Unholy,http://coverartarchive.org/release/978873d5-9e09-4caa-8397-362f06f0d7b0/34180766625-500.jpg
67330385,Kiss_Me_More,Kiss Me More,Kiss Me More,http://coverartarchive.org/release/101e7594-2fe1-41f7-8c70-1cfc5630392d/29044296182-500.jpg
58137868,Happier_(Marshmello_and_Bastille_song),Happier (Marshmello and Bastille song),Happier,http://coverartarchive.org/release/7a29752e-348c-48c7-ace8-3c8889b25b33/21337611402-500.jpg
54085263,Havana_(Camila_Cabello_song),Havana (Camila Cabello song),Havana,https://coverartarchive.org/release/b11131db-efff-4b34-886d-89aeeb6c1ced/38409447283-500.jpg
70954939,Calm_Down_(Rema_song),Calm Down (Rema song),Calm Down,http://coverartarchive.org/release/bce554f3-7650-4323-919f-28ce155e64a4/33270799889-500.jpg
40783555,All_of_Me_(John_Legend_song),All of Me (John Legend song),All of Me,http://coverartarchive.org/release/904480fb-2957-47a3-bce9-361782497765/35674716066-500.jpg
