wikipedia_id,wikipedia_key,wikipedia_title,title,thumbnail
68339911,A_Psalm_for_the_Wild-Built,A Psalm for the Wild-Built,A Psalm for the Wild-Built,https://covers.openlibrary.org/b/olid/OL32177625M-L.jpg
72271787,Demon_Copperhead,Demon Copperhead,Demon Copperhead,https://covers.openlibrary.org/b/olid/OL37691823M-L.jpg
66534407,Billy_Summers,Billy Summers,Billy Summers,https://covers.openlibrary.org/b/olid/OL34149304M-L.jpg
64057155,The_City_We_Became,The City We Became,The City We Became,https://covers.openlibrary.org/b/olid/OL34699928M-L.jpg
63094380,Dear_Edward,Dear Edward,Dear Edward,https://covers.openlibrary.org/b/olid/OL35992268M-L.jpg
68233230,The_Death_of_Vivek_Oji,The Death of Vivek Oji,The Death of Vivek Oji,https://covers.openlibrary.org/b/olid/OL34684541M-L.jpg
61426481,The_Anthropocene_Reviewed,The Anthropocene Reviewed,The Anthropocene Reviewed,https://covers.openlibrary.org/b/olid/OL34137065M-L.jpg
65256867,Home_Before_Dark_(novel),Home Before Dark (novel),Home Before Dark,https://covers.openlibrary.org/b/olid/OL34114108M-L.jpg
67436879,Clap_When_You_Land,Clap When You Land,Clap When You Land,https://covers.openlibrary.org/b/olid/OL36098259M-L.jpg
68865814,The_Night_Watchman_(novel),The Night Watchman (novel),The Night Watchman,https://covers.openlibrary.org/b/olid/OL29450994M-L.jpg
67185265,The_Dictionary_of_Lost_Words,The Dictionary of Lost Words,The Dictionary of Lost Words,https://covers.openlibrary.org/b/olid/OL33830828M-L.jpg
75190850,Iron_Flame,Iron Flame,Iron Flame,https://covers.openlibrary.org/b/olid/OL48354738M-L.jpg
68437629,The_Book_of_Two_Ways_(novel),The Book of Two Ways (novel),The Book of Two Ways,
69235225,The_Pull_of_the_Stars,The Pull of the Stars,The Pull of the Stars,https://covers.openlibrary.org/b/olid/OL29513579M-L.jpg
67826743,The_Empress_of_Salt_and_Fortune,The Empress of Salt and Fortune,The Empress of Salt and Fortune,https://covers.openlibrary.org/b/olid/OL47459162M-L.jpg
72314789,Legends_&_Lattes,Legends & Lattes,Legends & Lattes,https://covers.openlibrary.org/b/olid/OL37625837M-L.jpg
66375581,The_Evening_and_the_Morning,The Evening and the Morning,The Evening and the Morning,https://covers.openlibrary.org/b/olid/OL37742M-L.jpg
62388912,To_Sleep_in_a_Sea_of_Stars,To Sleep in a Sea of Stars,To Sleep in a Sea of Stars,https://covers.openlibrary.org/b/olid/OL32043957M-L.jpg
69449271,All_Boys_Aren't_Blue,All Boys Aren't Blue,All Boys Aren’t Blue,https://covers.openlibrary.org/b/olid/OL32040296M-L.jpg
68648920,"Beautiful_World,_Where_Are_You","Beautiful World, Where Are You","Beautiful World, Where Are You",https://covers.openlibrary.org/b/olid/OL38501227M-L.jpg
71393652,The_Atlas_Six,The Atlas Six,The Atlas Six,https://covers.openlibrary.org/b/olid/OL35587960M-L.jpg
69052578,The_Lincoln_Highway_(novel),The Lincoln Highway (novel),The Lincoln Highway,https://covers.openlibrary.org/b/olid/OL32139785M-L.jpg
1048337,Black_Sun,Black Sun,Black Sun,
43494,Fairy_tale,Fairy tale,Fairy Tale,
67571179,The_Lost_Apothecary,The Lost Apothecary,The Lost Apothecary,https://covers.openlibrary.org/b/olid/OL29893785M-L.jpg
74157502,Yellowface_(novel),Yellowface (novel),Yellowface,https://covers.openlibrary.org/b/olid/OL49013655M-L.jpg
64761400,Harlem_Shuffle_(novel),Harlem Shuffle (novel),Harlem Shuffle,https://covers.openlibrary.org/b/olid/OL34709636M-L.jpg
64524794,The_Southern_Book_Club's_Guide_to_Slaying_Vampires,The Southern Book Club's Guide to Slaying Vampires,The Southern Book Club's Guide to Slaying Vampires,https://covers.openlibrary.org/b/olid/OL31654959M-L.jpg
69108018,Iron_Widow,Iron Widow,Iron Widow,https://covers.openlibrary.org/b/olid/OL31925835M-L.jpg
65395503,Harrow_the_Ninth,Harrow the Ninth,Harrow the Ninth,https://covers.openlibrary.org/b/olid/OL29831093M-L.jpg
1836808,Spoiler_Alert,Spoiler Alert,Spoiler Alert,https://covers.openlibrary.org/b/olid/OL29869233M-L.jpg
74107503,Happy_Place_(novel),Happy Place (novel),Happy Place,https://covers.openlibrary.org/b/olid/OL47295567M-L.jpg
68949356,The_Man_Who_Died_Twice_(novel),The Man Who Died Twice (novel),The Man Who Died Twice,https://covers.openlibrary.org/b/olid/OL13537412M-L.jpg
73617124,Tress_of_the_Emerald_Sea,Tress of the Emerald Sea,Tress of the Emerald Sea,https://covers.openlibrary.org/b/olid/OL42777082M-L.jpg
12964178,Midnight_Sun_(Meyer_novel),Midnight Sun (Meyer novel),Midnight Sun,https://covers.openlibrary.org/b/olid/OL34129183M-L.jpg
74324266,The_Woman_in_Me_(memoir),The Woman in Me (memoir),The Woman in Me,https://covers.openlibrary.org/b/olid/OL49812464M-L.jpg
69962428,Concrete_Rose_(novel),Concrete Rose (novel),Concrete Rose,https://covers.openlibrary.org/b/olid/OL28249467M-L.jpg
71311417,Small_Things_like_These,Small Things like These,Small Things Like These,https://covers.openlibrary.org/b/olid/OL33904574M-L.jpg
65495279,Swimming_in_the_Dark,Swimming in the Dark,Swimming in the Dark,https://covers.openlibrary.org/b/olid/OL29533594M-L.jpg
73457581,Bloodmarked,Bloodmarked,Bloodmarked,https://covers.openlibrary.org/b/olid/OL36102167M-L.jpg
69834141,Our_Missing_Hearts,Our Missing Hearts,Our Missing Hearts,https://covers.openlibrary.org/b/olid/OL37579743M-L.jpg
70903707,The_Personal_Librarian,The Personal Librarian,The Personal Librarian,https://covers.openlibrary.org/b/olid/OL34187078M-L.jpg
76599400,Come_Tumbling_Down,Come Tumbling Down,Come Tumbling Down,https://covers.openlibrary.org/b/olid/OL29864919M-L.jpg
62116549,If_It_Bleeds,If It Bleeds,If It Bleeds,https://covers.openlibrary.org/b/olid/OL29835755M-L.jpg
73046811,Empire_of_the_Vampire,Empire of the Vampire,Empire of the Vampire,https://covers.openlibrary.org/b/olid/OL35555101M-L.jpg
69367766,She_Who_Became_the_Sun,She Who Became the Sun,She Who Became the Sun,https://covers.openlibrary.org/b/olid/OL36276942M-L.jpg
65317637,Troubled_Blood,Troubled Blood,Troubled Blood,https://covers.openlibrary.org/b/olid/OL28213305M-L.jpg
71766145,A_Wizard's_Guide_to_Defensive_Baking,A Wizard's Guide to Defensive Baking,A Wizard’s Guide to Defensive Baking,https://covers.openlibrary.org/b/olid/OL50527428M-L.jpg
29897575,Any_Way_the_Wind_Blows_(Southern_Pacific_song),Any Way the Wind Blows (Southern Pacific song),Any Way the Wind Blows,https://covers.openlibrary.org/b/olid/OL34193016M-L.jpg
1178,Afterlife,Afterlife,Afterlife,https://covers.openlibrary.org/b/olid/OL38515358M-L.jpg
30059,Troy,Troy,Troy,
65536484,The_Only_Good_Indians,The Only Good Indians,The Only Good Indians,https://covers.openlibrary.org/b/olid/OL28087222M-L.jpg
67508261,"The_Galaxy,_and_the_Ground_Within","The Galaxy, and the Ground Within","The Galaxy, and the Ground Within",https://covers.openlibrary.org/b/olid/OL29488996M-L.jpg
61112130,A_Desolation_Called_Peace,A Desolation Called Peace,A Desolation Called Peace,https://covers.openlibrary.org/b/olid/OL33946474M-L.jpg
307326,Still_life,Still life,Still Life,https://covers.openlibrary.org/b/olid/OL27941138M-L.jpg
68659271,Blacktop_Wasteland,Blacktop Wasteland,Blacktop Wasteland,https://covers.openlibrary.org/b/olid/OL28068257M-L.jpg
18884,Matrix,Matrix,Matrix,
70114155,Boyfriend_Material,Boyfriend Material,Boyfriend Material,https://covers.openlibrary.org/b/olid/OL41755159M-L.jpg
72857566,The_Island_of_Missing_Trees,The Island of Missing Trees,The Island of Missing Trees,https://covers.openlibrary.org/b/olid/OL32956811M-L.jpg
69155830,The_Once_and_Future_Witches,The Once and Future Witches,The Once and Future Witches,https://covers.openlibrary.org/b/olid/OL34693029M-L.jpg
72640539,The_Chalice_of_the_Gods,The Chalice of the Gods,The Chalice of the Gods,https://covers.openlibrary.org/b/olid/OL42735556M-L.jpg
70432574,It_Starts_with_Us,It Starts with Us,It Starts with Us,https://covers.openlibrary.org/b/olid/OL43624118M-L.jpg
69211524,The_Gilded_Ones,The Gilded Ones,The Gilded Ones,https://covers.openlibrary.org/b/olid/OL34154286M-L.jpg
71641512,The_Ink_Black_Heart,The Ink Black Heart,The Ink Black Heart,
57730298,Head_over_Heels_(musical),Head over Heels (musical),Head Over Heels,https://covers.openlibrary.org/b/olid/OL7824022M-L.jpg
66921586,"Detransition,_Baby","Detransition, Baby","Detransition, Baby",https://covers.openlibrary.org/b/olid/OL33912658M-L.jpg
74122889,The_Only_One_Left,The Only One Left,The Only One Left,https://covers.openlibrary.org/b/olid/OL27836367M-L.jpg
1735219,The_Bodyguard_(soundtrack),The Bodyguard (soundtrack),The Bodyguard,
64074063,The_Ickabog,The Ickabog,The Ickabog,https://covers.openlibrary.org/b/olid/OL34147473M-L.jpg
76855116,When_We_Cease_to_Understand_the_World,When We Cease to Understand the World,When We Cease to Understand the World,https://covers.openlibrary.org/b/olid/OL34678172M-L.jpg
68284541,The_Vanished_Birds,The Vanished Birds,The Vanished Birds,https://covers.openlibrary.org/b/olid/OL38398236M-L.jpg
68663751,Razorblade_Tears,Razorblade Tears,Razorblade Tears,https://covers.openlibrary.org/b/olid/OL34705323M-L.jpg
314162,Pretty_Things,Pretty Things,Pretty Things,https://covers.openlibrary.org/b/olid/OL27182362M-L.jpg
69978099,Daughter_of_the_Moon_Goddess,Daughter of the Moon Goddess,Daughter of the Moon Goddess,https://covers.openlibrary.org/b/olid/OL34782536M-L.jpg
66712383,No_One_Is_Talking_About_This,No One Is Talking About This,No One Is Talking About This,https://covers.openlibrary.org/b/olid/OL33335133M-L.jpg
71379872,The_Echo_Wife,The Echo Wife,The Echo Wife,https://covers.openlibrary.org/b/olid/OL29831104M-L.jpg
75141533,Bookshops_&_Bonedust,Bookshops & Bonedust,Bookshops & Bonedust,
73812085,The_Covenant_of_Water,The Covenant of Water,The Covenant of Water,https://covers.openlibrary.org/b/olid/OL49351816M-L.jpg
58096252,Yours_Truly_(2018_film),Yours Truly (2018 film),Yours Truly,
68925062,One_Last_Stop,One Last Stop,One Last Stop,https://covers.openlibrary.org/b/olid/OL34176795M-L.jpg
30071489,All_the_Devils_Are_Here,All the Devils Are Here,All the Devils Are Here,https://covers.openlibrary.org/b/olid/OL3762498M-L.jpg
69722530,Olga_Dies_Dreaming,Olga Dies Dreaming,Olga Dies Dreaming,https://covers.openlibrary.org/b/olid/OL33942519M-L.jpg
72915479,Maame_(novel),Maame (novel),Maame,https://covers.openlibrary.org/b/olid/OL42835759M-L.jpg
75503486,"Friends,_Lovers,_and_the_Big_Terrible_Thing","Friends, Lovers, and the Big Terrible Thing","Friends, Lovers, and the Big Terrible Thing",https://covers.openlibrary.org/b/olid/OL36486403M-L.jpg
74631805,The_Heaven_&_Earth_Grocery_Store,The Heaven & Earth Grocery Store,The Heaven & Earth Grocery Store,https://covers.openlibrary.org/b/olid/OL46232731M-L.jpg
9546013,Hellbent_(novel),Hellbent (novel),Hell Bent,https://covers.openlibrary.org/b/olid/OL37774619M-L.jpg
74809118,The_Adventures_of_Amina_al-Sirafi,The Adventures of Amina al-Sirafi,The Adventures of Amina al-Sirafi,https://covers.openlibrary.org/b/olid/OL38927230M-L.jpg
66232772,Hollowpox:_The_Hunt_for_Morrigan_Crow,Hollowpox: The Hunt for Morrigan Crow,Hollowpox: The Hunt for Morrigan Crow,https://covers.openlibrary.org/b/olid/OL28733572M-L.jpg
313333,Sin-eater,Sin-eater,Sin Eater,
67605135,The_Final_Girl_Support_Group,The Final Girl Support Group,The Final Girl Support Group,https://covers.openlibrary.org/b/olid/OL34187745M-L.jpg
72950275,The_Burning_Girls,The Burning Girls,The Burning Girls,
70349094,Hani_and_Ishu's_Guide_to_Fake_Dating,Hani and Ishu's Guide to Fake Dating,Hani and Ishu’s Guide to Fake Dating,https://covers.openlibrary.org/b/olid/OL34086097M-L.jpg
72148887,Postcolonial_Love_Poem,Postcolonial Love Poem,Postcolonial Love Poem,https://covers.openlibrary.org/b/olid/OL29819094M-L.jpg
74675094,Her_Last_Flight,Her Last Flight,Her Last Flight,https://covers.openlibrary.org/b/olid/OL31655391M-L.jpg
70993364,Happy-Go-Lucky_(book),Happy-Go-Lucky (book),Happy-Go-Lucky,https://covers.openlibrary.org/b/olid/OL48988558M-L.jpg
69434287,Leviathan_Falls,Leviathan Falls,Leviathan Falls,https://covers.openlibrary.org/b/olid/OL29533731M-L.jpg
72082040,Big_Swiss,Big Swiss,Big Swiss,https://covers.openlibrary.org/b/olid/OL49198464M-L.jpg
72113750,Spare_(memoir),Spare (memoir),Spare,
68329713,Jade_Legacy,Jade Legacy,Jade Legacy,https://covers.openlibrary.org/b/olid/OL37493623M-L.jpg
67442860,The_Bone_Shard_Daughter,The Bone Shard Daughter,The Bone Shard Daughter,https://covers.openlibrary.org/b/olid/OL29484882M-L.jpg
33978,Weather,Weather,Weather,
5941274,Remote_Control_(The_Tubes_album),Remote Control (The Tubes album),Remote Control,https://covers.openlibrary.org/b/olid/OL22604615M-L.jpg
74737186,Chain-Gang_All-Stars,Chain-Gang All-Stars,Chain-Gang All-Stars,https://covers.openlibrary.org/b/olid/OL48242722M-L.jpg
69252753,The_Last_Graduate,The Last Graduate,The Last Graduate,https://covers.openlibrary.org/b/olid/OL30543749M-L.jpg
68389952,Riot_Baby,Riot Baby,Riot Baby,https://covers.openlibrary.org/b/olid/OL29813986M-L.jpg
71381948,All_My_Rage,All My Rage,All My Rage,https://covers.openlibrary.org/b/olid/OL38056254M-L.jpg
68664951,Bewilderment,Bewilderment,Bewilderment,
68205721,Winter's_Orbit,Winter's Orbit,Winter’s Orbit,https://covers.openlibrary.org/b/olid/OL29891379M-L.jpg
65469169,Djinn_Patrol_on_the_Purple_Line,Djinn Patrol on the Purple Line,Djinn Patrol on the Purple Line,https://covers.openlibrary.org/b/olid/OL27907919M-L.jpg
71457278,The_Turnout,The Turnout,The Turnout,https://covers.openlibrary.org/b/olid/OL37582065M-L.jpg
