title,author
Code Name Hélène,Ariel Lawhon
"The Man Who Died Twice (Thursday Murder Club, #2)",Richard Osman
The Travelers Within: Into The Unknown,Daniel Mode
Tress of the Emerald Sea,Brandon Sanderson
"One Dark Window (The Shepherd King, #1)",Rachel Gillig
"As Good As Dead (A Good Girl's Guide to Murder, #3)",Holly  Jackson
"Midnight Sun (The Twilight Saga, #5)",Stephenie Meyer
The Woman in Me,Britney Spears
Redhead by the Side of the Road,Anne Tyler
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe
Love on the Brain,Ali Hazelwood
"The Charm Offensive (The Charm Offensive, #1)",Alison Cochrun
"Concrete Rose (The Hate U Give, #0)",Angie Thomas
"Things We Never Got Over (Knockemout, #1)",Lucy Score
The Last Train to Key West (The Perez Family #3),Chanel Cleeton
Small Things Like These,Claire Keegan
Fangs,Sarah Andersen
Reminders of Him,Colleen Hoover
Rodham,Curtis Sittenfeld
Swimming in the Dark,Tomasz Jedrowski
"Dial A for Aunties (Aunties, #1)",Jesse Q. Sutanto
"The Stolen Heir (The Stolen Heir Duology, #1)",Holly Black
"The Space Between Worlds (The Space Between Worlds, #1)",Micaiah Johnson
"Bloodmarked (Legendborn, #2)",Tracy Deonn
Our Missing Hearts,Celeste Ng
The Personal Librarian,Marie Benedict
The Reading List,Sara Nisha Adams
"Come Tumbling Down (Wayward Children, #5)",Seanan McGuire
Grown,Tiffany D. Jackson
If It Bleeds,Stephen King
"Our Violent Ends (These Violent Delights, #2)",Chloe Gong
"The Housemaid (The Housemaid, #1)",Freida McFadden
One by One,Ruth Ware
"Empire of the Vampire (Empire of the Vampire, #1)",Jay Kristoff
"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan
"Heartstopper: Volume Five (Heartstopper, #5)",Alice Oseman
"Neon Gods (Dark Olympus, #1)",Katee Robert
The Premonition: A Pandemic Story,Michael   Lewis
"Troubled Blood (Cormoran Strike, #5)",Robert Galbraith
"Ruthless Vows (Letters of Enchantment, #2)",Rebecca   Ross
Once There Were Wolves,Charlotte McConaghy
A Wizard’s Guide to Defensive Baking,T. Kingfisher
Betty,Tiffany   McDaniel
"Any Way the Wind Blows (Simon Snow, #3)",Rainbow Rowell
"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber
"The Hourglass Throne (The Tarot Sequence, #3)",K.D. Edwards
Leaving Isn't the Hardest Thing,Lauren  Hough
Afterlife,Julia Alvarez
"Troy (Stephen Fry's Great Mythology, #3)",Stephen Fry
"The ​Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout
The Witch's Heart,Genevieve Gornichec
The Only Good Indians,Stephen Graham Jones
"The Galaxy, and the Ground Within (Wayfarers, #4)",Becky  Chambers
"A Desolation Called Peace (Teixcalaan, #2)",Arkady Martine
Later,Stephen King
Still Life,Sarah Winman
The Lives of Saints,Leigh Bardugo
The Cartographers,Peng Shepherd
Blacktop Wasteland,S.A. Cosby
Matrix,Lauren Groff
Horse,Geraldine Brooks
"The Heart Principle (The Kiss Quotient, #3)",Helen Hoang
A Flicker in the Dark,Stacy Willingham
The Answer Is…: Reflections on My Life,Alex Trebek
"Finlay Donovan Is Killing It (Finlay Donovan, #1)",Elle Cosimano
"Boyfriend Material (London Calling, #1)",Alexis  Hall
The Island of Missing Trees,Elif Shafak
The Once and Future Witches,Alix E. Harrow
Finding Me,Viola Davis
The Kitchen Front,Jennifer    Ryan
House of Hollow,Krystal Sutherland
Think Again: The Power of Knowing What You Don't Know,Adam Grant
Big Lies in a Small Town,Diane Chamberlain
"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes
Vagina Problems,Lara  Parker
I Must Betray You,Ruta Sepetys
"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes
How the Word Is Passed: A Reckoning with the History of Slavery Across America,Clint   Smith
"The Chalice of the Gods (Percy Jackson and the Olympians, #6)",Rick Riordan
"It Starts with Us (It Ends with Us, #2)",Colleen Hoover
Wrong Place Wrong Time,Gillian McAllister
The First to Die at the End,Adam Silvera
If I Never Met You,Mhairi McFarlane
"The Gilded Ones (The Gilded Ones, #1)",Namina Forna
The Dead Romantics,Ashley Poston
They Went Left,Monica Hesse
"The Ink Black Heart (Cormoran Strike, #6)",Robert Galbraith
Head Over Heels,Hannah Orenstein
"The Sun and the Star: A Nico di Angelo Adventure (Camp Half-Blood Chronicles, #17)",Rick Riordan
"Detransition, Baby",Torrey Peters
"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey
"Delilah Green Doesn't Care (Bright Falls, #1)",Ashley Herring Blake
The Only One Left,Riley Sager
The Bodyguard,Katherine Center
The Ickabog,J.K. Rowling
What You Wish For,Katherine Center
Killers of a Certain Age,Deanna Raybourn
